fid,field_1,id,left,top,right,bottom,CCTV수,교차로수,주차면수,N버스_노선개수,지하철역수,가게면적,음주사고수,index_dt,index_rf,index_gbm,y_pred_dt,y_pred_rf,y_pred_gbm
"197","199","5565",206958.2087,443881.686,207058.2087,443781.686,1,1,"0","0","1",740.13,거짓,0.184775863278837,0.192537535135091,0.126189213533393,"1","1",true
"248","252","5648",207058.2087,444481.686,207158.2087,444381.686,0,2,"0","0","0",0,거짓,0.217092733246318,0.194553725356379,0.170659903843529,"1","1",true
"501","514","4302",205558.2087,445581.686,205658.2087,445481.686,1,1,"0","0","1",0,거짓,0.168323624094629,0.17290163442854,0.104804319638932,"1","1",true
"517","530","4318",205558.2087,443981.686,205658.2087,443881.686,1,1,"0","0","1",0,거짓,0.168323624094629,0.17290163442854,0.104804319638932,"1","1",true
"688","706","4568",205858.2087,445681.686,205958.2087,445581.686,0,2,"0","0","0",0,거짓,0.217092733246318,0.194553725356379,0.170659903843529,"1","1",true
"692","710","4572",205858.2087,445281.686,205958.2087,445181.686,0,0,"0","0","0",5391.69,거짓,0.119851071415973,0.143043370057294,0.155784414308063,"1","1",true
"933","962","5034",206358.2087,443581.686,206458.2087,443481.686,0,1,"0","0","1",0,거짓,0.194345637427613,0.185211502417558,0.129042411607964,"1","1",true
"1077","1107","7352",208958.2087,443181.686,209058.2087,443081.686,2,1,"0","0","2",2090.74,거짓,0.27457562864025,0.303994449689105,0.184687335919062,"1","3",true
"1150","1182","7441",209058.2087,443181.686,209158.2087,443081.686,1,1,"0","1","0",2264.92,거짓,0.124992290934868,0.141169391039074,0.126533166046855,"1","1",true
"1876","1932","1189",202058.2087,445381.686,202158.2087,445281.686,2,1,"0","0","0",6364.23,거짓,0.197971857722062,0.24150231383438,0.220738198110767,"1","1",true
"1950","2019","1523",202458.2087,447581.686,202558.2087,447481.686,1,1,"0","0","1",0,거짓,0.168323624094629,0.17290163442854,0.104804319638932,"1","1",true
"2009","2086","1648",202558.2087,443981.686,202658.2087,443881.686,1,1,"0","1","0",3116.98,거짓,0.143932605365166,0.163774832726377,0.151152101492945,"1","1",true
"2092","2174","1709",202658.2087,446781.686,202758.2087,446681.686,0,1,"0","0","0",2746.75,거짓,0.169603461970225,0.170149074675703,0.164692979098897,"1","1",true
"2171","2257","1827",202758.2087,443881.686,202858.2087,443781.686,0,1,"0","0","0",2335.18,거짓,0.160454733934549,0.159229982551623,0.152801310364832,"1","1",true
"2225","2318","2015",202958.2087,442881.686,203058.2087,442781.686,0,1,"0","0","1",922.19,거짓,0.214844861149506,0.209677516864444,0.155687643257178,"1","1",true
"2539","2648","1007",201858.2087,445781.686,201958.2087,445681.686,0,1,"0","0","2",0,거짓,0.280144908232066,0.273146142156926,0.172754871294163,"1","1",true
"2567","2678","905",201758.2087,447081.686,201858.2087,446981.686,0,1,"0","0","0",1768.68,거짓,0.147862090077587,0.144200544817358,0.136433182615366,"1","1",true
"2606","2721","3150",204258.2087,445081.686,204358.2087,444981.686,1,1,"0","0","1",741.4,거짓,0.184804093919081,0.19257122866717,0.126225908188718,"1","1",true
"2609","2724","3149",204258.2087,445181.686,204358.2087,445081.686,1,1,"0","0","0",2429.34,거짓,0.136525789172743,0.14941821139766,0.131283823707168,"1","1",true
"2797","2921","3444",204558.2087,442381.686,204658.2087,442281.686,1,2,"0","0","0",0,거짓,0.191070719913334,0.182243857367361,0.146421811874498,"1","1",true
"2807","2931","3394",204558.2087,447381.686,204658.2087,447281.686,1,0,"0","0","0",6911.53,거짓,0.127613354357599,0.171055374347261,0.175459712063211,"1","1",true
"2972","3114","3709",204858.2087,442581.686,204958.2087,442481.686,1,2,"0","0","0",0,거짓,0.191070719913334,0.182243857367361,0.146421811874498,"1","1",true
"3033","3182","3589",204758.2087,445681.686,204858.2087,445581.686,0,1,"0","0","0",2391.47,거짓,0.161705995934035,0.16072337540257,0.154427721505198,"1","1",true
"3121","3276","3715",204858.2087,441981.686,204958.2087,441881.686,0,2,"0","0","0",0,거짓,0.217092733246318,0.194553725356379,0.170659903843529,"1","1",true
"3128","3283","3946",205158.2087,445581.686,205258.2087,445481.686,2,1,"0","0","0",3386.28,거짓,0.131775452119516,0.162496287178152,0.134695010058655,"1","1",true
"3139","3295","3942",205158.2087,445981.686,205258.2087,445881.686,0,0,"0","0","0",17641.38,거짓,0.39214760015066,0.468031813338924,0.509719967373119,"1","1",true
"3220","3382","3856",205058.2087,445681.686,205158.2087,445581.686,0,1,"0","0","0",2553.98,거짓,0.165318406442764,0.165034820991617,0.159123192715376,"1","1",true
"3466","3655","2415",203458.2087,447381.686,203558.2087,447281.686,1,1,"0","0","0",2055.91,거짓,0.128224869498417,0.139510986449546,0.12049415037004,"1","2",true
"3481","3672","2416",203458.2087,447281.686,203558.2087,447181.686,1,1,"0","0","0",2996.71,거짓,0.149137772129715,0.164470730527915,0.147677088740203,"1","1",true
"3492","3687","2351",203358.2087,444881.686,203458.2087,444781.686,1,0,"0","0","0",6143.4,거짓,0.110538707356983,0.150676624114568,0.153265802145829,"1","1",true
"3556","3757","2506",203558.2087,447181.686,203658.2087,447081.686,0,1,"0","0","0",2436.66,거짓,0.162710517692016,0.161922281477083,0.155733415579335,"1","1",true
"3606","3816","2449",203458.2087,443981.686,203558.2087,443881.686,0,1,"0","0","0",1650.67,거짓,0.145238863419934,0.141069699368072,0.133023469013046,"1","1",true
"3646","3861","2604",203658.2087,446281.686,203758.2087,446181.686,0,1,"0","0","0",2023.42,거짓,0.153524667475861,0.150958883684837,0.143793494818189,"1","1",true
"3648","3863","2594",203658.2087,447281.686,203758.2087,447181.686,0,0,"0","0","0",6513,거짓,0.144776503866548,0.172792105848659,0.188182905617425,"1","1",true
"3760","3989","2706",203758.2087,444981.686,203858.2087,444881.686,0,0,"0","0","0",5823.95,거짓,0.129459714370273,0.154511374920512,0.168273888096208,"1","1",true
"3785","4019","2884",203958.2087,444981.686,204058.2087,444881.686,0,1,"0","0","0",1826.71,거짓,0.149152030277092,0.145740100460287,0.138109868322871,"1","1",true
"3863","4100","3059",204158.2087,445281.686,204258.2087,445181.686,0,0,"0","0","0",6355.62,거짓,0.141278127361325,0.168616760904937,0.183635657700018,"1","1",true
